회사명,회사의종류,리뷰어분야,직원여부,지역,날짜,제목,좋은점,나쁜점,희망사항(경영진에게),성장,추천,승진기회가능성점수,복지급여점수,업무와 삶의 균형 점수,사내문화점수,경영진점수
에이비일팔공,IT/웹/통신,서비스/고객지원,현직원,서울,2022. 12,"성장이라는 키워드가 부합하는 곳(구성원, 분위기 모든 것이)","모난 사람이 없음. 
내부에서 알력싸움같은 것이 없기에 그런 스트레스가 없는 편
구성원 대부분이 열정적이고, 서로 도움을 주고자 하는 분위기가 잘 형성되어 있음.","야근이 너무 당연한 분위기이다. 
(야근을 하는 인원이 많음... 야근에 대한 강요는 전혀 없으나, 하지 않으면 일을 마무리하기 어려움...)
복지가 많지는 않음... (최근에 그나마 있는 복지도 줄어든 느낌)",크게 바라는 점은 없음. 지금 처럼만 유지해줬음 좋겠음.,이 기업은 1년 후      비슷할 것이다.,이 기업을 추천 합니다!,60,40,20,100,80
에이비일팔공,IT/웹/통신,데이터,현직원,서울,2022. 09,"애드테크, 마테크의 최전선에서 우리의 프로덕트와 우리의 회사가 커가는 것을 직접 느낄 수 있음. 로켓 탑승.","좌우 어디를 둘러봐도 정말 똑똑한 인재들만 모여있음. 나 뺴고 다 똑똑함. 다들 성장하고자 하는 의지가 많기에, 주변에 있는 것만으로도 같이 성장하는 느낌.","사업이 계속해서 커지니, 업무량이 정말 많음. 워라밸을 기대한다면, 조금 어려울지도. 그래도 사람 계속해서 뽑고 있으니 언젠가는 나아질 것으로 전망.","너무 무리하지 말고, 지금처럼만 잘 해주었으면. 이미 충분히 잘 해주고 있기에, 더 바라는 점이 없음.",이 기업은 1년 후      성장하고 있을 것이다.,이 기업을 추천 합니다!,80,80,60,100,100
에이비일팔공,IT/웹/통신,디자인,전직원,서울,2022. 08,PMF를 찾아 폭발적으로 성장하는 스타트업을 경험할 수 있음. 시스템은 부족할 수 있고 인력대비 할 일은 많을 수 있음,프로덕트와 업무에 진심으로 열정적인 사람들과 함께 일할 수 있음,신규 고객사 유치하면서 일이 리니어하게 늘어나서 기존 인력으로 처리하기 힘든만큼 일이 늘어날 수 있음.,"지속가능한 성장을 할 수 있도록 프로덕트를 안정화하는데 노력하고, 팀원들의 동기부여를 위해 비저닝에도 힘써주시길 바랍니다",이 기업은 1년 후      성장하고 있을 것이다.,이 기업을 추천 합니다!,80,60,80,100,40
에이비일팔공,IT/웹/통신,디자인,전직원,서울,2022. 08,복지와 연봉은 아쉬우나 능력있고 실력있는 사람들만 모여있는 어벤져스 집단,"정말 탄탄한 실력을 가진 시니어가 엄청 많고 젊은 시너지가 정말 가득한 곳. 또한, 주니어가 입사한다면 급성장하기 좋은 환경임.",워라벨이 직군마다 케바케임. 주니어가 입사하면 굉장히 높은 서비스 이해도가 필요. 연봉과 복지는 항상 아쉬운 편임. 그렇다고 엄청 나쁘다는 아님.,비금전적인 혜택이 늘어났으면 좋겠음. 지금은 어떤진 모르겠지만 과거 기준으로 말한다면 온보딩 개선이 필요.,이 기업은 1년 후      성장하고 있을 것이다.,이 기업을 추천 합니다!,60,40,60,80,80
에이비일팔공,IT/웹/통신,영업/제휴,전직원,서울,2022. 07,국내에서 가장 빠르게 성장하고 있는 SaaS 스타트업,"- 본인의 역량에 따른 기회가 무궁무진함.
- 서로 다른 영역의 솔루션들을 취급하기 때문에 많은 것들을 배울 수 있음.
- 좋은 c-level 밸런스.
- 대표님의 훌륭한 역량과 인성.","- 국내 시장 파이가 작음 (해외 진출 성공 필수 또는 신규 기술 활용을 통한 새로운 시장 개척 필요)
- 산업의 트렌드로 인한 제약이 많음 (개인정보 제한에 따른)
- 상당한 업무량 (사실 개인적으로 단점이라고 생각하지 않지만 워라벨을 스타트업에 바라는 분들이라면 재고려 필요)",특히 영업 조직을 전문적으로 이끌 수 있는 시니어급 인재 1명 확보를 적극적으로 고려해야 할 것 같습니다.,이 기업은 1년 후      성장하고 있을 것이다.,이 기업을 추천 합니다!,100,100,80,100,100
에이비일팔공,IT/웹/통신,인사/총무,전직원,서울,2022. 07,뛰어난 동료들과 즐겁게 일할 수 있다.똑똑한 사람들이 많다.,"동료들이 뛰어나고 착하다, 사람으로 스트레스 받지는 않을 환경 
주도적으로 성장하고 싶다면 정말 딱인곳
C레벨분들도 훌륭하시고 ,역세권에 사무실이 있다.",빠르게 성장중인 회사라 일이 많아 워라벨을 챙기기는 쉽지않다.본인이 똑똑하고 욕심이 많지 않으면 적응하기 쉽지않다.,지금처럼 자신감있는 모습으로 성공 가도를 달리셨으면 합니다.,이 기업은 1년 후      성장하고 있을 것이다.,이 기업을 추천 합니다!,100,60,60,100,100
에이비일팔공,IT/웹/통신,기획/경영,현직원,서울,2022. 05,"국내에서 몇 안되는 성장중인 B2B SaaS 기업이라고 생각함. B2B SaaS나 마테크, 애드테크에 관심있다면 국내에 이만한 회사는 없음. 같이 일하는 동료 및 C레벨 뛰어남",전체적으로 동기부여가 될 수 있는 똑똑한 동료들이 많음. C레벨들이 똑똑하고 열심히 일함. 인원이 많아지고 있음에도 불구하고 정치질하는 등 같이 일하는 동료 때문에 스트레스 받을 일이 없어서 업무에만 몰두할 수 있음. 평균 연령이 다소 어린편이라 분위기 좋고 수평적임,"아직 성장중인 스타트업이기도하고 스케일업중이다보니 아무래도 프로세스나 체계, R&R이 덜 잡혀있는 부분이 있음. 하지만 어떻게보면 욕심이 많은 사람에게는 기회이기도 함. 똑똑하고 허슬러인 사람들이 많다보니 동기 부여도 되지만 그런 성향이 맞지 않는 사람들은 스트레스 받을 수는 있음. 업무 강도가 꽤 있는 편이라 워라벨이 좋다고 할 수는 없음 (물론 팀바팀). 주니어 레벨이 많다보니 회사가 성장하는 과정에서 경험이 많은 사람들이 필요하다고 느끼는 경우가 간혹 있음","회사가 더 커지고 성장하더라도 지금처럼 허들없이 커뮤니케이션 할 수 있고, 지금과 같은 문화가 잘 유지되도록 노력해주시면 좋을듯",이 기업은 1년 후      성장하고 있을 것이다.,이 기업을 추천 합니다!,100,80,60,100,100
에이비일팔공,IT/웹/통신,서비스/고객지원,전직원,서울,2022. 04,리뷰만 믿고 갔던 내가 진심으로 한심하고 원망스럽다….,간식 많음. 동료들 똑똑하고 착함. 업무 난이도 높아서 짧은 시간 빠른 성장 가능,젊은 꼰대 비위 맞춰주느라 너무 힘들고 그냥 좀비처럼 살아야 함. 퇴사하고 나서도 문득문득 분노가 치밀어서 이불킥하고 일어나면서 살고 있음. 팔로워십 강한 주니어 뽑아서 걍 사람취급 안하고 회사에 헌신 안하면 인생 망할 것처럼 세뇌시키는데 다 세뇌당하고 있는 거 보면 회사가 사람은 잘 뽑는듯ㅎㅎ… 진심으로 리뷰만 보고 빡센 면접 보고 매일 새벽에 퇴근하던 내 자신이 바보같고 한심하게 느껴지기까지 함,어차피 안 바뀔 거 알아서 이 말이 뭔 소용이나 싶겠지만 그렇게 하시다간 직원이고 친구고 다 잃으실 것 같습니다. 그리고 대표님은 같이 일하는 사람을 뽑는 거라면 인성도 같이 좀 보셨음 좋겠네요.,이 기업은 1년 후      비슷할 것이다.,이 기업을 추천하지 않습니다.,20,20,20,20,20
에이비일팔공,IT/웹/통신,영업/제휴,현직원,서울,2022. 03,잡플래낫 평점만큼 최악의 회사 아니고 잘 만족하며 다니고 있습니다. 빠르게 성장한 기업치고 생각보다 많은 것들이 안정화 된 부분이 있기도하고 체계가 아직 안잡힌 부분들을 개선시켜나가며 개인이 성장할 수 있는 기업입니다.,수평적인 문화 특별히 모난사람들 없이 사람이 좋습니다출퇴근 택시지원재택배울 수 있는 환경,직원 보상 시스템이 더 개발되면 좋겠습니다 타 it회사 대비해서는 연봉 복지등이 아쉬운부분이 있습니다.,한국에서 플랫폼이 더 안정화 될 수 있게 모두 화이팅!!,이 기업은 1년 후      성장하고 있을 것이다.,이 기업을 추천 합니다!,60,60,100,100,60
에이비일팔공,IT/웹/통신,개발,전직원,서울,2022. 03,빠르게 성장하고 싶은 사람에게 좋은 회사,지속적으로 비즈니스가 성장하고 있음. 데이터 비즈니스를 경험할 수 있는 회사가 많지 않은데 그 중 하나임.,창업자들을 포함해서 전반적으로 나이가 많진 않기 때문에 긴 경력을 가진 사람이 많지 않음,사내구성원들이 회사의 성장을 좀 더 체감할 수 있게 더 많은 정보들을 공유해줬으면 좋겠음,이 기업은 1년 후      성장하고 있을 것이다.,이 기업을 추천 합니다!,100,100,80,100,100
에이비일팔공,IT/웹/통신,개발,현직원,서울,2022. 03,"스타트업에 대한 걱정거리들이 딱히 적용되지 않는 곳. 권한과 책임을 부여받을 수 있고, 좋은 사람들과 조직 문화 안에서 열정적인 만큼 성장할 수 있는 수준 높은 조직 문화를 가지고 있음.","- 휴가 사유는 항상 '.'으로 올림. 급한 일이 남아 있는데도 휴가를 쓴다거나 하는, 협업에 있어 비상식적인 상황만 아니라면 언제든 자유롭게 휴가 ㄱㄱ.
- 능력 있는 사람들과 일하는 것이 복지라고 생각이 들 정도로, 다들 성장에 목말라 있고, 잘 하려는 분위기.
- 물 흐리는 사람이 없음. 꼰대, 무능력한 사람, 배배 꼬인 사람이 팀에 있으면 다 같이 힘들기 마련인데, 채용 프로세스가 좋은 것인지 5년동안 그런 사람을 마주친 적 없음.
- 나이, 학력, 직급에 무관하게 실력만큼 대우받을 수 있음. 높은 성과를 낸 경우 상상 이상의 연봉 상승을 제안받을 수 있음.
- 곤란한 상황이 생겼을 때에도, 누군가를 탓하지 않고 '앞으로 더 잘 하려면 시스템을 어떻게 개선할지' 토론하는 문화를 가지고 있음. 실수한 사람에게 비난하는 팀원은 매우 혼남. 비교적 실력이 부족할 때에도 자신감을 잃지 않고 계속 도전하고 나아갈 수 있는 환경.","- 우수한 사람들이 많아 열등감이나 조급함이 들 때가 있음.
- 광고, 마케팅이라는 도메인은 생각보다 어려움. 물론 이것이 어렵다는 것을 이해하고 있는 팀원들 덕분에 빠르게 적응할 수 있었음.","- 사무실이 여러모로 구리다고 생각하는데(엘리베이터, 수평 안 맞는 자리들, 좁은 자리와 통로 등), 곧 괜찮은 곳으로 이사 예정이라고 해서 특별한 불만 없음.",이 기업은 1년 후      성장하고 있을 것이다.,이 기업을 추천 합니다!,100,100,100,100,100
에이비일팔공,IT/웹/통신,영업/제휴,현직원,서울,2022. 03,"한국에서 SaaS 관련 경험을 제대로 하고 싶다면, 개발/비개발 모두 포함 가장 이상적인 회사. 자사 솔루션을 키우는 경험과 동시에 글로벌한 솔루션을 다루는 다각적인 경험이 가능.",기본적으로 선한 사람들이 모였음. 그리고 이 선한 사람들이 열정이 매우 높음. 서로 자극이 되고 배울점이 많다는게 가장 핵심적인 장점이라고 생각함.,간식이 다양하게 많은데 거의 비주류라 딱히 먹을게 없음.,"지금 하고있는 것처럼 열정적이고 자신있게 휘몰아쳤으면 좋겠음. 다만, 이 과정 중에 직원들과 더 많은 내용을 공유해줬으면 좋겠음.",이 기업은 1년 후      성장하고 있을 것이다.,이 기업을 추천 합니다!,100,100,100,100,100
에이비일팔공,IT/웹/통신,기획/경영,현직원,서울,2022. 02,다양한 커리어를 경험해볼 수 있는 곳입니다!!,연차를 자유롭게 사용할 수 있으면 도서구매 지원비 강의 지원비등을 아끼지않습니다,야근을 강요하지않지만 많은 업무양으로 인해 야근을 하게되는 것이 단점이라면 단점,결정 내용을 직원들에게 알리고 끊임없이 의사를 묻는 자세가 바람직,이 기업은 1년 후      성장하고 있을 것이다.,이 기업을 추천 합니다!,80,60,60,80,80
에이비일팔공,IT/웹/통신,영업/제휴,현직원,서울,2022. 02,회사를 성장 시키는 재미가 있는 회사,"스마트한 동료들과 일하면서, 많은 점을 배울 수 있다는점에서 좋습니다. 
그리고 무엇보다 성실하고, 헌신적인 대표님과 같이 일할 수 있는 기회가 큰 장점입니다.","아직 시스템적으로 개선해야할점이 많이 있고, 일부분에 있어 미숙한점도 있습니다.
복지 및 팀 R&R 등","회사가 점점 커짐에 따라, 접점이 줄어들고 있지만 지금까지 보여주신 모습을 계속해서
보여주시면 좋을것 같습니다.",이 기업은 1년 후      성장하고 있을 것이다.,이 기업을 추천 합니다!,100,80,80,100,100
에이비일팔공,IT/웹/통신,영업/제휴,현직원,서울,2022. 02,마테크 회사라 솔루션과 마케팅 역량 모두 쌓을수있고 질문과 공유가 활발한 기업문화가 좋음,"다양한 솔루션 및 마테크 산업에 대해 배울 수 있어 역량쌓기에 좋음
질문과 공유가 활발하고 구성원의 의견이 반영되고 있다는 느낌이 들어 기업문화도 좋음
일이 쌓이면 야근도 많아지지만 결국 각자의 선택이라 워라밸은 알아서 잘 챙기면 됩니다
SaaS 산업 성장으로 인해 미래도 기대됨","복지 및 급여처우가 아쉬움 
휴가, 건강검진, 성과급, 명절복지 등등 많이 생기면 좋겠어요 급여도 일하는만큼 잘 반영되도록 많이 올랐으면",앞으로도 로켓성장하는 회사 만들어주세요,이 기업은 1년 후      성장하고 있을 것이다.,이 기업을 추천 합니다!,100,60,60,100,100
에이비일팔공,IT/웹/통신,영업/제휴,현직원,서울,2022. 01,계속 성장하고 있는 B2B SaaS 스타트업,"가장 중요한 '사람'. 똑똑하고 책임감 있는 사람들과 함께 일할 수 있다. 2030이 대부분인 젊은 회사이고 배움에 대한 열정이 많은 사람들이 모여 있다. 
IT 솔루션 영업을 제대로 해볼수 있는 회사다. 자체 개발 솔루션을 공급할 뿐 아니라 글로벌 1위 솔루션들의 한국 공식 리셀러다.",회사가 최근에 빠른 성장세에 접어들어 아직은 보상 체계가 고도화되어 있지 않다. 장기적으로 복지 제도도 개선이 필요하다.,일하는 방식과 문화의 최신 트렌드를 적극 반영해주었으면 좋겠다. 회사가 잘될수록 직원들이 오랫동안 믿고 함께할수 있도록 좋은 대우를 해주기를 희망한다.,이 기업은 1년 후      성장하고 있을 것이다.,이 기업을 추천 합니다!,80,60,80,80,80
에이비일팔공,IT/웹/통신,영업/제휴,현직원,서울,2022. 01,"일잘하는 좋은 동료들과 함께 B2B 세일즈 그리고 IT 업계를 경험하기 좋은 곳
IT 대기업 영업으로의 이직 가능성 매우 높음","자유로운 업무 분위기 속에서 최고의 업무 퍼포먼스를 낼 수 있도록 도와주는 동료들 덕에 편하고 똑똑하게 일할 수 있는 곳입니다. 조직이 매우 수평적이며 불필요한 정치질, 탁상공론이 전혀 없으며 모두가 자유롭게 자신의 의견을 개진하고, 각자의 방식으로 업무를 할 수 있는 자유를 보장합니다. 함께 회사를 만들어가면서 다양한 것들을 경험하고 탄탄한 커리어 패스를 만들 수 있는 기반을 쌓을 수 있습니다.","회사가 급속도로 성장하다보니 내부 의사결정 프로세스 및 환경이 뒷받침되지 못하는 부분이 있습니다. 다만 이 문제에 대해서 리더들이 충분히 인지를 하고 있고, 이를 해결하기 위해 노력하고 있는 것이 느껴져, 큰 기업이 되기 위한 과정이라 생각하고 있습니다.","회사 규모에 비해 경영진들이 비교적 자잘한 업무까지 신경쓰는 경향이 있어 간혹 업무 처리에 시간이 소요되는 경우가 있는 것 같습니다. 이제 조직이 매우 커졌다는 것을 인지하시고 보다 리더, 경영자로서의 역할을 수행해주시면 좋을 것 같습니다.",이 기업은 1년 후      성장하고 있을 것이다.,이 기업을 추천 합니다!,100,80,100,100,100
에이비일팔공,IT/웹/통신,영업/제휴,현직원,서울,2022. 01,"성장하는 스타트업의 장점이 극대화된 회사.
조직과 구성원 모두 성장하는 뿌듯함 속에서 높은 성취감을 느낄 수 있습니다.
매일의 출근이 기대되는 회사!","젊고 꿈이 크며 능력있고 신뢰할 수 있는 경영진.
국내에는 거의 전무한 글로벌 Martech 솔루션을 다루고, MMP(어트리뷰션툴)분야에서 기술력으로 승부하는 Airbridge 를 자체개발했음.
Facebook(Meta) 공식 비지니스파트너이자 MTA, Incrementality 분야에 강점.
또한 유저행동분석, CRM 분야에서 글로벌 1위인 Amplitude, Braze 와 같은 솔루션을 Sales 할 수 있는 기회는 정말 흔치않은 장점이라고 생각함.
B2B Sales 에 꿈이 있고 제대로된 Sales 커리어를 만들고싶다면 AB180 에서의 경험과 도전은 정말 큰 메리트라고 생각합니다.","너무 빠르게 조직이 성장하다보니 높은 인구밀도를 자랑함.
하지만 이부분도 사무실 이전 계획이 있으니 조만간 해결될듯.
투자단계도 아직은 초기라 타 IT 기업대비 복지가 좋다라고 말을 할 순없겠지만 이부분도 후속투자가 크게있을것이 확실하기때문에 좋아질거라 생각합니다!","조직이 급속도로 성장하다보면 놓치는것들과 시행착오가 늘 있기마련인데 이런부분들을 최소화하면 좋겠습니다.
그리고 회사는 사람(인적구성)이 전부인 만큼 지금처럼 뛰어난 분들로만 계속 채용될 수 있게 힘써주세요!",이 기업은 1년 후      성장하고 있을 것이다.,이 기업을 추천 합니다!,100,80,100,100,100
에이비일팔공,IT/웹/통신,영업/제휴,현직원,서울,2022. 01,성장하는 마테크 산업의 성장하는 기업에서 세일즈 역량을 쌓을 수 있는 곳. 사내 분위기가 좋으며 주도적으로 업무를 진행할 수 있음. 성장하는 기업에서 함께 성장하고 싶은 지원자라면 합류하기를 추천함,"- 수평적인 사무실 분위기 
- 주도적인 업무 수행 가능 
- 비 IT 전공 신규입사자도 마테크 기술/제품에 대해 학습할 수 있도록 체계적인 온보딩 지원","- 아직 대기업에 비해 복지가 부족함
- 솔루션에 대한 인지도는 높지만 B2B 기업이고 솔루션 중심으로 인지도가 형성되다보니 AB180이라는 회사의 브랜드는 아직 인지도가 낮음","회사의 성장세가 가파른데, 앞으로도 계속 좋은 사내문화 유지할 수 있도록 관심과 노력 부탁드립니다.",이 기업은 1년 후      성장하고 있을 것이다.,이 기업을 추천 합니다!,100,80,80,100,100
에이비일팔공,IT/웹/통신,마케팅/시장조사,현직원,서울,2022. 01,진짜 성장하는 회사. 직원도 많이 늘고 세일즈도 나름 잘 되고 있음. 좋은 동료들과 함께 일할 수 있음.,"일 잘하고 똑똑한 사람들과 일할 수 있습니다. 성장과 도전을 추구하는 사람들이 모여있어요. 지금 계속 성장하는 IT SaaS업계를 경험할 수 있어요. 대부분 팀들이 분위기 좋은 것 같긴한데, 지금 속한 세일즈팀 분위기도 좋고 잘 뭉쳐서 서로 끈끈해요.",딱히 없어요. 인원이 급증하면서 회사가 북적북적해져서 화장실을 기다리거나 회의실이 꽉차는 경우가 생겼다는거..? 조금 체계가 갖춰진 스타트업이라서 아주 자유롭진 않을 수 있습니다.,별로 없습니다. 더 많은 채용과 보상으로 더 성장하는 회사가 되기를 바랍니다.,이 기업은 1년 후      성장하고 있을 것이다.,이 기업을 추천 합니다!,80,80,100,100,100
